time_step  time  K  U  H  kT  p  msd 
2060 4.120000 315.712347 -1092.961197 -777.248850 0.825392 1.743434 1.232020
2070 4.140000 319.900075 -1097.123904 -777.223828 0.836340 1.692705 1.241871
2080 4.160000 326.502451 -1103.888902 -777.386451 0.853601 1.605886 1.251673
2090 4.180000 327.931925 -1105.649974 -777.718050 0.857338 1.580679 1.260938
2100 4.200000 321.240229 -1099.181498 -777.941269 0.839844 1.651398 1.269063
2110 4.220000 318.956827 -1096.949523 -777.992697 0.833874 1.656020 1.276028
2120 4.240000 318.631650 -1096.680171 -778.048521 0.833024 1.626565 1.282181
2130 4.260000 309.967484 -1087.899660 -777.932176 0.810373 1.699248 1.287632
2140 4.280000 311.946471 -1089.616119 -777.669648 0.815546 1.639005 1.292235
2150 4.300000 319.965042 -1097.578895 -777.613853 0.836510 1.502928 1.296043
2160 4.320000 323.787245 -1101.508921 -777.721676 0.846503 1.429647 1.299157
2170 4.340000 329.018554 -1107.010043 -777.991489 0.860179 1.351406 1.301702
2180 4.360000 332.415616 -1110.824918 -778.409302 0.869060 1.307780 1.303920
2190 4.380000 332.719387 -1111.640399 -778.921011 0.869855 1.323699 1.305911
2200 4.400000 323.311586 -1102.598150 -779.286563 0.845259 1.480790 1.307867
2210 4.420000 313.205387 -1092.482214 -779.276827 0.818838 1.647101 1.309865
2220 4.440000 315.137926 -1094.266275 -779.128349 0.823890 1.641135 1.311839
2230 4.460000 319.920650 -1099.051711 -779.131061 0.836394 1.585181 1.314039
2240 4.480000 314.516082 -1093.647916 -779.131834 0.822264 1.666044 1.316895
2250 4.500000 306.857103 -1085.758961 -778.901858 0.802241 1.790998 1.320740
2260 4.520000 304.388932 -1082.889023 -778.500091 0.795788 1.849438 1.325450
2270 4.540000 312.814141 -1090.993920 -778.179779 0.817815 1.756993 1.330607
2280 4.560000 319.160062 -1097.313931 -778.153869 0.834405 1.681845 1.336304
2290 4.580000 311.857089 -1089.947140 -778.090050 0.815313 1.783904 1.342816
2300 4.600000 307.763145 -1085.577121 -777.813976 0.804610 1.850592 1.349694
2310 4.620000 313.004730 -1090.552468 -777.547738 0.818313 1.786912 1.355726
2320 4.640000 320.725660 -1098.245386 -777.519726 0.838498 1.679852 1.360219
2330 4.660000 316.656200 -1094.253439 -777.597239 0.827859 1.726785 1.363342
2340 4.680000 299.635514 -1076.938344 -777.302830 0.783361 1.949325 1.365325
2350 4.700000 299.659560 -1076.338298 -776.678738 0.783424 1.956065 1.366067
2360 4.720000 316.036479 -1092.408603 -776.372125 0.826239 1.749147 1.365516
2370 4.740000 318.033687 -1094.405370 -776.371683 0.831461 1.732225 1.364185
2380 4.760000 315.017732 -1091.319806 -776.302074 0.823576 1.793215 1.362838
2390 4.780000 318.413990 -1094.664263 -776.250273 0.832455 1.771603 1.362065
2400 4.800000 320.839628 -1097.156813 -776.317186 0.838796 1.754460 1.362119
2410 4.820000 315.424409 -1091.766845 -776.342437 0.824639 1.832387 1.363010
2420 4.840000 308.467128 -1084.618987 -776.151859 0.806450 1.928127 1.364659
2430 4.860000 302.592040 -1078.379231 -775.787190 0.791090 2.004353 1.366797
2440 4.880000 298.510050 -1073.737950 -775.227900 0.780418 2.047188 1.368867
2450 4.900000 308.675966 -1083.430334 -774.754368 0.806996 1.900827 1.370537
2460 4.920000 320.717219 -1095.372743 -774.655524 0.838476 1.724570 1.371894
2470 4.940000 322.592397 -1097.391779 -774.799382 0.843379 1.681996 1.373186
2480 4.960000 316.310726 -1091.166271 -774.855544 0.826956 1.749888 1.374892
2490 4.980000 314.658380 -1089.414517 -774.756137 0.822636 1.760342 1.377842
2500 5.000000 318.968249 -1093.658473 -774.690224 0.833904 1.680829 1.382523
2510 5.020000 329.318205 -1104.201368 -774.883163 0.860963 1.510328 1.388498
2520 5.040000 331.599899 -1106.917488 -775.317589 0.866928 1.442119 1.394807
2530 5.060000 328.727574 -1104.474337 -775.746763 0.859418 1.468732 1.400454
2540 5.080000 314.405807 -1090.309115 -775.903308 0.821976 1.671528 1.405082
2550 5.100000 305.903087 -1081.510048 -775.606961 0.799747 1.815172 1.408940
2560 5.120000 318.901660 -1094.285128 -775.383468 0.833730 1.677545 1.412604
2570 5.140000 334.208666 -1109.890570 -775.681905 0.873748 1.504110 1.416634
2580 5.160000 332.835090 -1109.085810 -776.250720 0.870157 1.559254 1.421167
2590 5.180000 320.533712 -1097.086910 -776.553198 0.837997 1.775065 1.425747
2600 5.200000 313.188522 -1089.690791 -776.502270 0.818794 1.929633 1.429870
